# source=RotorDin Fortran direct source tree sha256 1f8077d8444593a7e5b17a482d20c27d9298bef38389c86ca2c88c285f61dca0
# command=rotordin -std -f -b
# response_contract=UNBIF 1200 rpm; UNBFF 7200 rpm; UNBFD 400; UNBMD 10
# generation=legacy Project serialization kept TABLE/support/geometry unchanged; only UNBIF/UNBFF restored to original INI intent after serializer range override
# full_graph_points=402; this golden set is deterministic decimation plus resonance neighborhoods
# probes=467.8mm coord1 45deg; 467.8mm coord2 45deg; 2202.2mm coord1 45deg; 2202.2mm coord2 45deg
rpm,amp_p1_m,amp_p2_m,amp_p3_m,amp_p4_m,phase_p1_rad,phase_p2_rad,phase_p3_rad,phase_p4_rad
6137.640137,2.53676253,2.744555477,11.53952199,12.24953842,0.3443118334,5.133800507,5.942684174,3.495212078
6287.26416,1.888164713,4.369641004,5.476262618,6.807412443,0.04279245064,5.475259781,5.08094883,2.898014545
6436.888184,2.61927047,6.55687866,2.037537584,3.187487152,5.408150673,5.27571106,4.744670391,2.894389629
6571.549805,4.008162529,7.819817619,1.07991888,2.387874248,4.479700565,4.94359684,5.028066158,3.392898798
6586.512207,4.160184154,7.862178953,1.068197065,2.425588471,4.386445522,4.903364182,5.062558174,3.43670845
6601.474609,4.304277924,7.881685786,1.065527273,2.474041659,4.295919418,4.863501549,5.08782959,3.472364187
6616.437012,4.438983892,7.878981356,1.068751129,2.528750591,4.208282471,4.824307442,5.103375912,3.500136375
6631.399414,4.563236105,7.85522959,1.075242925,2.585928339,4.123654366,4.786048889,5.109577656,3.520712376
6691.249023,4.946845585,7.586018602,1.101581727,2.789517908,3.816791773,4.646664619,5.062102795,3.549480915
6706.211426,5.014931466,7.485957032,1.104328802,2.827344495,3.748098612,4.615963936,5.037997246,3.547685146
6721.173828,5.072911024,7.377218361,1.105111862,2.858930687,3.682553291,4.587081909,5.011013031,3.543728113
6736.13623,5.121544375,7.261837834,1.104055592,2.884339972,3.620078087,4.560039997,4.981920242,3.538137197
6751.098633,5.161645731,7.141685009,1.101379452,2.903821121,3.560584068,4.534834862,4.951366901,3.531344891
6781.023438,5.219604508,6.893441844,1.092273037,2.926572778,3.450079203,4.489805222,4.887915134,3.515466452
6795.98584,5.239087537,6.768018855,1.086432535,2.930772504,3.398819447,4.469877243,4.855817795,3.506868362
6810.948242,5.253254176,6.643174066,1.080117576,2.930838464,3.350049019,4.451588631,4.82389307,3.498067379
6825.910645,5.262797548,6.51974526,1.073591931,2.927248094,3.303631544,4.434862137,4.792379379,3.489186287
6840.873047,5.268349075,6.398408716,1.067096108,2.92045271,3.259431362,4.419620514,4.761476517,3.480316162
6855.835449,5.270476184,6.279709073,1.060844864,2.910871779,3.217321157,4.405784607,4.731347084,3.471523046
6870.797852,5.269685202,6.164049511,1.055027352,2.898886831,3.1771698,4.393272877,4.702122211,3.462851048
6885.760254,5.266424574,6.051745049,1.049809534,2.884841931,3.138857365,4.382008076,4.673909187,3.454329014
7035.384277,5.163494656,5.133991568,1.054684867,2.682313663,2.833703041,4.32271862,4.45750761,3.37757802
7185.008301,5.031113445,4.555385509,1.20816091,2.442089779,2.616644621,4.325155258,4.34468317,3.306578875
7199.970703,5.018199732,4.51288067,1.233470788,2.417252411,2.597692966,4.327432632,4.336483002,3.299217701
